目录名称,新目录,歌曲目录名称,歌曲名称,PP值-容易,PP值-通常,PP值-困难,PP值-专家,PP值-噩梦,难度-容易,难度-通常,难度-困难,难度-专家,难度-噩梦,hash
萌新曲,,116b (Always - SkyKiwi),Always - [Panama],0,0,0,100.125,120.626,0,0,0,2.24,2.71,022C187AE58A1897BBC309B4F6B62ECB4ADC5760
萌新曲,,1211 (City Lights (Pa's Lam System Remix) - Saut),City Lights (Pa's Lam System Remix) - HyperJuice[Saut],,,,,183.057,,,,,4.42,8EEB20D53093FCF060460AA9AC6815D0668D27D1
萌新曲,,1227 (Solfeggietto - ruckus),Solfeggietto - C.P.E. Bach[Ruckus],,,,,152.762,,,,,3.39,071FE03CF0740E85B4A41F3DBD7BCAC05A2F3F84
萌新曲,,"122f (Nice To Meet You, Mr. Earthling ft. Hatsune Miku - edzo)","Nice To Meet You, Mr. Earthling ft. Hatsune Miku - Pinnochio-P[Edzo]",,,,121.399,,,,,2.65,,13C217E8068A0986D695729B8165B91F38079BB4
萌新曲,,126c (iLLness LiLin - mystikmol),iLLness LiLin  - Chart by Mystikmol[Kaneko Chiharu],,54.571,123.617,222.557,0,,1.18,2.77,5.26,0,0BFAB2B62C6D7EA1C3587C48EFD1A0EEC365D983
萌新曲,,1283 (Burn My Dread (Short Ver.) - woops),Burn My Dread (Short Ver.) - Persona 3 OST[woops],,,,,141.107,,,,,3.12,74CB8192AEEE46A91CBFC47707C653179DFED8FE
萌新曲,,12d9 (Pixel Galaxy - fefeland),Pixel Galaxy - Snail's House[FEFELAND],,,68.575,0,,,,1.49,0,,848B35A0028465BC4D76FD3CAFB5ACC4B2C70D5A
萌新曲,,12e (You Are the End - atebite),You Are the End - [Waveshaper],,,70.231,,,,,1.52,,,91E78271A7E4FB42092DC5671E82012293997723
萌新曲,,1373 (Nico Nico Douga Medley - jackscape),Nico Nico Douga Medley - [jackscape],,,,,150.585,,,,,3.33,D6B9CD678D2C3AA9CE41762A22F24D867329044D
萌新曲,,13a0 (Greenlights Serenade - edzo),Greenlights Serenade  - Omoi ft. Hatsune Miku[Edzo],,,0,144.264,148.152,,,0,3.17,3.28,B3F11301E4AC555184E7EF4344242049FEA41345
萌新曲,,13e9 (BUBBLE TEA - roeek),BUBBLE TEA - dark cat[Mapped by roeek],,,0,166.257,,,,0,3.65,,F83EDEC86D3FAF683711ECB0A9DF6BD65D2D0CE0
萌新曲,,140e (Responsibility Response - rinkusenpai),Responsibility Response - Izumi Akazawa (CV. Madoka Yonezawa)[RinkuSenpai],,,,154.104,,,,,3.37,,6FFE3B4B9506C77BEAA335E9D3841C77FDAC070D
萌新曲,,141 (Gangnam Style - greatyazer),Gangnam Style - PSY[GreatYazer],,53.446,0,0,,,1.15,0,0,,8E7E553099436AF31564ADF1977A5EC42A61CFFF
萌新曲,,1490 (Underworld - killthealias),Underworld - Eptic[killthealias],,,,73.939,,,,,1.79,,A9E6B0C1942C89ECDFD3D0F6162CCB68BC04CE28
萌新曲,,14bd (We Built this City - rustic),"We Built this City - Starship[GreatYazer, Rustic, BennyDaBeast]",,43.093,72.61,0,,,1.03,1.66,0,,477FAC9561E8931C7EFAF49FAA065611348F159D
萌新曲,,1500 (Test Drive - stumi),Test Drive - John Powell[Stumi],0,75.991,0,0,,0,1.65,0,0,,40B2D900D8301AB15DF8043CDCE8FD2686AFFF4F
萌新曲,,155 (Midnight City - bennydabeast),Midnight City - M83[BennyDaBeast],,53.103,59.564,89.71,138.715,,1.14,1.28,1.96,3.08,FBD8B9338BFFB98555A10C69887234FAC959D83D
萌新曲,,159 (Kyouran Hey Kids!! - tigerdragonb),Kyouran Hey Kids!! - Noragami Aragoto Opening[The Oral Cigarettes],,,0,101.924,123.055,,,1.74,2.24,2.72,BEB94EDEE41D9AAB16630EA96A752B2217EB95E9
萌新曲,,15b1 (Blood Hunter - rustic),Blood Hunter - Varien[Rustic],,,,,140.199,,,,,3.07,D06A8564708C3ACEF7FB889A194614F176236E4C
萌新曲,,1668 (Meltdown feat. Rin - todokete),Meltdown feat. Rin - by Iroha(Sasaki)[Todokete],,34.799,55.721,94.328,107.603,,0.75,1.21,2.06,2.37,26933342740E324FFEEEB1FF53F5231E5CEA3D95
萌新曲,,166c (Just be Friends feat. Luka - todokete),Just be Friends feat. Luka - by Dixie Flatline[Todokete],,45.207,65.497,95.197,,,0.97,1.41,2.07,,8E41C0730EBB1A7D265925386CB9801D72427130
萌新曲,,16b0 (Little Kandi Raver 2012 - edzo),Little Kandi Raver 2012 - S3RL ft. Sara[Edzo],,,97.496,121.075,,,,2.11,2.65,,B42FF8D822C0D3EF459F04DE3B6631FCDC21489D
萌新曲,,17b1 (sleepparalysis - Krydar),sleepparalysis////////////// - isqa[Kry],,,,,137.839,,,,,3.35,65F78118110793E75B81422D01E67B0C7623CFF1
萌新曲,,17d (Life Will Change - squeaksies),Life Will Change - Persona 5 OST[Shoji Meguro],,,88.922,122.179,,,,1.93,2.69,,532D6987004E927B5B54ED2AFC9EFC20C5970D51
萌新曲,,188c (La Grange - freeek),La Grange - ZZ Top[Freeek],27.645,0,113.705,154.729,159.882,0.59,1.58,2.48,3.43,3.57,8A959C2FCB00A410DC8E0C13C04ADE3F75F195E9
萌新曲,,189 (The Wolf - elektrospy),The Wolf - SIAMÉS[Elektrospy],,76.087,,,,,1.66,,,,5D1464476AFA2CAE02879B1BA8DF477BCF4E74B6
萌新曲,,194 (Marble Soda - squillistipated),Marble Soda - Shawn Wasabi[Squillistipated],,,,114.127,,,,,2.5,,56AB93337898C37E5D0E8BD3FD6627F77F29BC6B
萌新曲,,1942 (Chrome Vox - moriik),Chrome Vox - t+pazolite[Moriik],,,75.808,116.245,173.077,,,1.65,2.54,3.91,692C3639C199DC1FA381325B77A70966186C125F
萌新曲,,1949 (Black Emperor - mystikmol),Black Emperor - Chart by Mystikmol[Chroma],34.99,69.674,,275.545,0,0.75,1.5,,6.11,0,AA4038E7B937773382C569A097D7B3CF0C40407D
萌新曲,,1955 (Hitorigoto -TV MIX- - psyc0pathic),Hitorigoto -TV MIX- - ClariS[Psyc0pathic],,,109.59,147.493,,,,2.39,3.33,,C043C27D2825A4A368D7D899437491A0D56C2A1C
萌新曲,,19ca (Bubble Pop - fafurion),Bubble Pop - Hyuna[Fafurion],41.969,0,99.27,128.603,,0.91,0,2.17,2.8,,E8ED13A78CD1E566F754D0CB47D4B5CDE8918ABE
萌新曲,,19de (Made In Love - mystikmol),Made In Love - Chart by Mystikmol[Chroma],0,0,0,,192.958,0,0,0,,4.41,6F41DB10DB5070511552D5932419C738B17D3E41
萌新曲,,1a33 (RELOADED - Saut),RELOADED - EGOIST[Saut],,,107.603,186.401,300.511,,,2.35,4.11,6.72,A5BE6E439863B22BB0CA36E2F4EAD53452E1B978
